Name,Rating,DPR,Kast,Impact,ADR,KPR,Start_Date,End_Date
Noisia,1.01,0.68,70.3%,0.91,72.3,0.66,2016-06-14,2016-09-12
sK,1.11,0.69,71.6%,1.19,80.6,0.72,2016-06-14,2016-09-12
Dezibel,0.97,0.65,70.8%,0.87,67.6,0.60,2016-06-14,2016-09-12
IyeN,1.14,0.72,66.7%,1.34,87.8,0.76,2016-06-14,2016-09-12
deStiny,1.23,0.69,72.2%,1.38,90.0,0.82,2016-06-14,2016-09-12
BURNRUOk,0.99,0.67,67.0%,1.00,70.9,0.64,2016-06-14,2016-09-12
Gratisfaction,1.25,0.62,72.0%,1.42,83.2,0.79,2016-06-14,2016-09-12
James,1.08,0.62,69.3%,1.10,74.1,0.69,2016-06-14,2016-09-12
sonic,0.92,0.69,66.9%,0.83,67.9,0.60,2016-06-14,2016-09-12
InfrequeNt,1.13,0.63,69.7%,1.20,76.8,0.72,2016-06-14,2016-09-12
Liazz,1.19,0.65,73.0%,1.25,84.1,0.75,2016-06-14,2016-09-12
chuch,1.04,0.69,69.2%,1.07,77.6,0.69,2016-06-14,2016-09-12
wizard,1.00,0.70,66.8%,1.04,75.3,0.67,2016-06-14,2016-09-12
gazR,0.99,0.67,67.4%,1.00,70.8,0.64,2016-06-14,2016-09-12
zedzke,1.17,0.64,71.1%,1.27,77.3,0.78,2016-06-14,2016-09-12
Rock1nG,1.02,0.79,65.9%,1.21,80.0,0.73,2016-06-14,2016-09-12
RUBINO,0.99,0.70,68.2%,0.97,71.7,0.64,2016-06-14,2016-09-12
MSL,0.93,0.72,66.3%,0.94,67.6,0.60,2016-06-14,2016-09-12
hampus,1.16,0.71,67.9%,1.38,87.4,0.80,2016-06-14,2016-09-12
roca,1.09,0.68,69.5%,1.13,77.4,0.73,2016-06-14,2016-09-12
FGB,1.04,0.70,71.7%,1.06,74.0,0.70,2016-06-14,2016-09-12
aproto,1.01,0.71,70.4%,0.97,73.3,0.68,2016-06-14,2016-09-12
jOELZ,1.10,0.71,66.4%,1.20,83.4,0.74,2016-09-12,2016-12-11
POWELS,0.96,0.70,69.0%,0.86,69.6,0.62,2016-09-12,2016-12-11
Oderus,0.55,0.85,48.8%,0.53,51.6,0.41,2016-09-12,2016-12-11
flashstep,0.73,0.93,51.2%,1.06,60.8,0.51,2016-09-12,2016-12-11
Char,0.41,0.85,39.0%,0.48,40.2,0.27,2016-09-12,2016-12-11
draWsouL,0.54,0.90,48.8%,0.47,49.0,0.44,2016-09-12,2016-12-11
aproto,0.90,0.83,48.8%,1.00,80.4,0.71,2016-09-12,2016-12-11
GZB,0.91,0.65,59.5%,0.92,67.1,0.58,2016-09-12,2016-12-11
Sh1ne,1.09,0.70,69.0%,1.21,70.1,0.69,2016-09-12,2016-12-11
mopoz,1.28,0.63,72.2%,1.33,84.9,0.90,2016-09-12,2016-12-11
