Name,KD,Wins,Losses,Winning_Percentage,Player_1,Player_2,Player_3,Player_4,Player_5,Start_Date,End_Date
Astrahacks,1.02,4,1,0.8,laggeR,proflar,papia_metal,yungsober,MoiZzZ,2017-06-09,2017-09-07
Fearless,1.06,3,3,0.5,snaky,riot,Wea,Vitis,Xaen,2017-06-09,2017-09-07
Party Astronauts,1.21,1,1,0.5,stellar,xizy,Axed,vanity,FrostayK,2017-06-09,2017-09-07
Till We Die,0.53,0,1,0.0,NnyQuil,Mauisnake,pfitter,Trainer,huckLeberry,2017-06-09,2017-09-07
ThirdSense,0.69,0,1,0.0,Matt,Amazed,royaldemise,zeptic,Hyper,2017-06-09,2017-09-07
MostlyG,0.90,0,1,0.0,MrGriizwald,dawn,Junior,V3tis,Daemos,2017-06-09,2017-09-07
Cotokos,0.54,0,2,0.0,Ed,IcaruS,MouraPower,Necator,and1,2017-06-09,2017-09-07
C'EST LA VIE,1.19,1,1,0.5,fines,ayken,oskarish,SHiPZ,feddan,2017-06-09,2017-09-07
e-Leet,0.74,1,2,0.3333333333333333,kB,gabriel,chvry,frD,Sakura,2017-06-09,2017-09-07
Cardinals,0.63,0,1,0.0,Immi,MiGHTYMAX,pickles,Thomas,Luzuh,2017-06-09,2017-09-07
Venko,0.82,0,2,0.0,Revenant,haaSKING,MdP,SMN,tazziE,2017-06-09,2017-09-07
Supervillains,0.88,0,2,0.0,prJ,eL3oSK,kuzco,le swagger,NuggeT,2017-06-09,2017-09-07
tbd,0.88,0,2,0.0,fashqx,Solid,Teddy,JD,bERKY,2017-06-09,2017-09-07
LPA,0.51,0,2,0.0,godiva,navid3ra,Odin,kkroto,MickSaboia,2017-06-09,2017-09-07
Digital Warfare,0.93,1,2,0.3333333333333333,ScreaNnysSs,F3els,SaDós,TzaT,Theo,2017-06-09,2017-09-07
dizLown,0.91,1,1,0.5,Ngugu,Adlane,alex_,LAAH,DARKY,2017-06-09,2017-09-07
OPENBALA,1.04,1,2,0.3333333333333333,Reis,kaene,mza,Sense,Blizzard,2017-06-09,2017-09-07
Leonid,0.99,2,2,0.5,Logix,FASHR,luosrevo,k1Nzo,yNc,2017-06-09,2017-09-07
ONFIRE,1.08,2,3,0.4,tataia,piaba,kinud,pazorius,lipex,2017-06-09,2017-09-07
Nem Viu,0.87,2,3,0.4,mack,McL,zed,shoke,RDG,2017-06-09,2017-09-07
Veni Vidi Vici,0.79,1,4,0.2,pixel,Italiano,hoax,bloodrrr,DAMAGE,2017-06-09,2017-09-07
SMC,0.67,0,5,0.0,jkaz,stevie,mswag,Xtinct,majestic,2017-06-09,2017-09-07
Jaguar SA,0.59,0,1,0.0,aurum,beats,Gallo,LeytoN,zock,2017-06-09,2017-09-07
Kungar,0.80,0,3,0.0,mouseTT,kkt,neathz,spyn,nrkkk,2017-06-09,2017-09-07
Execution,1.11,4,2,0.6666666666666666,Alucard1,TSRK,Wynd,RafaGOD,lydaN,2017-06-09,2017-09-07
Infinity,1.61,6,0,1.0,bazzo,t.,orangeN,v1xen,kaiG,2017-06-09,2017-09-07
Tricksters,0.64,1,2,0.3333333333333333,plushkin,s4shkin,Ou7bReaK,fAst,It's my,2017-06-09,2017-09-07
OnlineRol,0.88,1,5,0.16666666666666666,VigzZ,Strikker,LATINOBOMBEN,alexsomfan,quiNz,2017-06-09,2017-09-07
Hala Ares,0.98,1,3,0.25,Jame,SEVERIN,tr3vl,artems0n,PASHANOJ,2017-06-09,2017-09-07
Telecon.Jundiaí,0.83,0,2,0.0,Batistuta,LosK,snp,psy,frozeN,2017-06-09,2017-09-07
Wolves,0.84,1,2,0.3333333333333333,RiTz,FalKen,dnm,Monster,ManaN,2017-06-09,2017-09-07
TShow,0.96,2,3,0.4,f11,guerri,zam,VINI,knight,2017-06-09,2017-09-07
Tainted Black,0.78,0,9,0.0,Hazz,Scoot,klebz,ekul,Aycer,2017-06-09,2017-09-07
Rimi,0.99,1,2,0.3333333333333333,yalld,n0ki,literjack,Akward,nopper,2017-06-09,2017-09-07
MAKONGA,0.65,0,2,0.0,Reggie,centronz,maty,leakeN,krea6on,2017-06-09,2017-09-07
breaddren,0.52,0,1,0.0,DANSKY,ScottSterling,tedderzy,DuDe,mantuu,2017-06-09,2017-09-07
TOA,0.74,0,1,0.0,ATAAA,nashvillen,Viresse,gkr,sterben,2017-06-09,2017-09-07
Upset,0.91,1,1,0.5,crux,mCe,raz,PureR,KLUMZ,2017-06-09,2017-09-07
X,0.98,1,1,0.5,xeon,dFx,ArizoN,OZALA,cyraX,2017-06-09,2017-09-07
Risky,1.33,9,2,0.8181818181818182,Nami,breAker,KarriBob,k1tkat,havoK,2017-06-09,2017-09-07
Dare2Dream,0.95,3,2,0.6,Antidote,HellrangeR,blackhawk,Shabby,Kappa,2017-06-09,2017-09-07
RevolutioN,0.74,0,2,0.0,halz,dream,wh1sk,cookeh,breeze,2017-06-09,2017-09-07
MAXISAUCISSE,0.82,2,8,0.2,MAIDHEN,matHEND,Fuks,DEVIL,YOUYOU,2017-06-09,2017-09-07
Baskonia,1.00,3,3,0.5,Blastinho,smile,baron,psycko,drifking,2017-06-09,2017-09-07
Morior Invictus,0.66,0,1,0.0,lanhero,huynh,Spongey,k3vinz,sickLy,2017-06-09,2017-09-07
Coalition,0.56,0,1,0.0,kOZMIK,Nakib,aria,Jazo,Sepehr,2017-06-09,2017-09-07
Org Incoming,1.09,4,3,0.5714285714285714,phr,snatchie,Furlan,GruBy,TOAO,2017-06-09,2017-09-07
CIGAN-KLAN,0.84,2,3,0.4,Kryzstal,superhck,kykaho,UGARR,outwerk,2017-06-09,2017-09-07
Giants,1.03,6,8,0.42857142857142855,TorPe,NaOw,DeathZz,MusambaN1,oW^,2017-06-09,2017-09-07
Sherifi,0.95,4,4,0.5,d1,bodyaN,Krad,lehazor,Forp,2017-06-09,2017-09-07
GameAgents,0.87,1,5,0.16666666666666666,ztk,becker,KORN,Mystic,m1kkis,2017-06-09,2017-09-07
T.O.T,0.94,7,24,0.22580645161290322,Supreme,Ar,Cate,Tank,Franke19,2017-06-09,2017-09-07
GRUBASy,0.86,1,4,0.2,repo,crank,matty,fines,michi,2017-06-09,2017-09-07
nxl,0.78,0,5,0.0,frgd,soifong,alessa,Mirskie,maRk,2017-06-09,2017-09-07
Athletico Gold,0.47,0,1,0.0,Sync,flickz,Texta,badger,DickStacy,2017-06-09,2017-09-07
Relic,0.52,0,1,0.0,PWNDe,ThinkFirst,^nitro,Every,Yuve,2017-06-09,2017-09-07
Shablagooists,0.87,0,1,0.0,waxydabs,Miichz,paralyzed,Gatr,Tubba,2017-06-09,2017-09-07
NFS,0.81,0,1,0.0,Fiziq,seziwana,MagnetSh0CK,Infinite,Jahoob,2017-06-09,2017-09-07
tjaswelolxd,0.92,0,1,0.0,pita,dipparn,kreaz,pyth,SoMe1,2017-06-09,2017-09-07
BayoBoyon,0.84,1,2,0.3333333333333333,Kron,mohi,korvN,Skari,ob1,2017-06-09,2017-09-07
RCTIC,0.94,2,3,0.4,SAASTIS,toree,SAAGA,sLowi,jehu,2017-06-09,2017-09-07
G2V,0.97,5,8,0.38461538461538464,enanoks,EasTor,AEROZ,nmt,peelk,2017-06-09,2017-09-07
nono,0.78,0,1,0.0,SoLReK,claeys,axrRRRRR,G1DO,Revenant,2017-06-09,2017-09-07
Magicians,0.98,3,4,0.42857142857142855,FliP1,EspiranTo,SandeN,ZywOo,sperr,2017-06-09,2017-09-07
SkitLite Academy,0.92,1,2,0.3333333333333333,dolze,Hontsa,Pale,Vladimus,PaG3,2017-06-09,2017-09-07
SITMENNÄÄ,0.56,0,2,0.0,rze-,meiki,A1b0b,Tsipe,mutu,2017-06-09,2017-09-07
Threats,0.73,1,3,0.25,Kaiser,stalker398,d@rklord,cLb,NgocTocDo,2017-06-09,2017-09-07
TORI,0.96,1,2,0.3333333333333333,hoody,NiNLeX,Gas,Chipo,Jebuuh,2017-06-09,2017-09-07
HegemonyPerson,0.71,0,15,0.0,fuzzy9,PLA,yzl1,eva,BlackMamba,2017-06-09,2017-09-07
Almogverus,0.62,0,2,0.0,w33dz,scrub,OduZ,Harppu,Jubbarii,2017-06-09,2017-09-07
Pixel Kings,0.64,1,2,0.3333333333333333,WZGOD,Lude,Koznu,Tompstomps,Klankku,2017-06-09,2017-09-07
Oisko Marjoja?,0.58,0,2,0.0,ketis,Tousti,Bobini,wAiL-,Eetu,2017-06-09,2017-09-07
SJK,0.88,2,2,0.5,henkka,STOVVE,JESMUND,doto,EYELESS,2017-06-09,2017-09-07
Dead Pixels,0.96,2,2,0.5,avm,zirken,pbD,truth,PONKUS,2017-06-09,2017-09-07
Fact Revolution,0.69,0,2,0.0,meth0d,jolietoG,Pham,envi,Marcelious,2017-06-09,2017-09-07
KoN Iceland,0.74,1,5,0.16666666666666666,aNdrehh,Donn1klu7s,ReaN,Narfi,RoNiN,2017-06-09,2017-09-07
Pipel,0.81,0,2,0.0,fx,r1ksa,feltz,kääbik,mephyx,2017-06-09,2017-09-07
SkitLite,1.11,11,6,0.6470588235294118,BONA,ottoNd,aune,Aerial,arvid,2017-06-09,2017-09-07
5cent,0.87,1,1,0.5,horotO,ketam1n,kaz5k,hOru,meme1k,2017-06-09,2017-09-07
DragonDK,1.08,1,0,1.0,Kristou,Vazor,thamlike,wusung,notaN,2017-06-09,2017-09-07
